product_id;product_name;discounted_price;actual_price;discount_percentage;rating;rating_count;main_category;sub_category;product_type;savings;price_range;rating_category;review_count;sentiment_mean;pct_positif;pct_negatif;sentiment_label
B07JW9H4J1;Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey);399;1099;64;4,2;24269;Computers&Accessories;Accessories&Peripherals;USBCables;700;Budget <500;Bon;8;0,455;80;0;Positif
B098NS6PVG;Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black);199;349;43;4;43994;Computers&Accessories;Accessories&Peripherals;USBCables;150;Budget <500;Moyen;8;0,376893333;73,3;0;Positif
B096MSW6CT;Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices;199;1899;90;3,9;7928;Computers&Accessories;Accessories&Peripherals;USBCables;1700;Budget <500;Moyen;8;0,61125;100;0;Positif
B08HDJ86NZ;boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red);329;699;53;4,2;94363;Computers&Accessories;Accessories&Peripherals;USBCables;370;Budget <500;Bon;8;0,42381;90;0;Positif
B08CF3B7N1;Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey);154;399;61;4,2;16905;Computers&Accessories;Accessories&Peripherals;USBCables;245;Budget <500;Bon;8;0,346594737;73,7;5,3;Positif
B08Y1TFSP6;pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black);149;1000;85;3,9;24871;Computers&Accessories;Accessories&Peripherals;USBCables;851;Budget <500;Moyen;8;0,3138375;62,5;12,5;Positif
B08WRWPM22;boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black);176,63;499;65;4,1;15188;Computers&Accessories;Accessories&Peripherals;USBCables;322,37;Budget <500;Moyen;8;0,378475;58,3;0;Positif
B08DDRGWTJ;MI Usb Type-C Cable Smartphone (Black);229;299;23;4,3;30411;Computers&Accessories;Accessories&Peripherals;USBCables;70;Budget <500;Bon;8;0,515775;100;0;Positif
B008IFXQFU;TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3;499;999;50;4,2;179691;Computers&Accessories;NetworkingDevices;WirelessUSBAdapters;500;Budget <500;Bon;8;0,323453571;85,7;0;Positif
B082LZGK39;Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black);199;299;33;4;43994;Computers&Accessories;Accessories&Peripherals;USBCables;100;Budget <500;Moyen;8;0,376893333;73,3;0;Positif
B08CF3D7QR;Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey);154;339;55;4,3;13391;Computers&Accessories;Accessories&Peripherals;USBCables;185;Budget <500;Bon;8;0,305154545;72,7;0;Positif
B0789LZTCJ;boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black);299;799;63;4,2;94363;Computers&Accessories;Accessories&Peripherals;USBCables;500;Budget <500;Bon;8;0,42381;90;0;Positif
B07KSMBL2H;AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot;219;700;69;4,4;426973;Electronics;HomeTheater,TV&Video;HDMICables;481;Budget <500;Bon;8;0,50976;90;0;Positif
B085DTN6R2;Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green;350;899;61;4,2;2262;Computers&Accessories;Accessories&Peripherals;USBCables;549;Budget <500;Bon;8;0,411290909;100;0;Positif
B09KLVMZ3B;Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White);159;399;60;4,1;4768;Computers&Accessories;Accessories&Peripherals;USBCables;240;Budget <500;Moyen;8;0,41435;90;0;Positif
B083342NKJ;MI Braided USB Type-C Cable for Charging Adapter (Red);349;399;13;4,4;18757;Computers&Accessories;Accessories&Peripherals;USBCables;50;Budget <500;Bon;8;0,554666667;100;0;Positif
B0B6F7LX4C;MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black);13999;24999;44;4,2;32840;Electronics;HomeTheater,TV&Video;SmartTelevisions;11000;Luxe >10000;Bon;8;0,544;87,5;12,5;Positif
B082LSVT4B;Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black);249;399;38;4;43994;Computers&Accessories;Accessories&Peripherals;USBCables;150;Budget <500;Moyen;8;0,376893333;73,3;0;Positif
B08WRBG3XW;boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black);199;499;60;4,1;13045;Computers&Accessories;Accessories&Peripherals;USBCables;300;Budget <500;Moyen;8;0,329361538;76,9;7,7;Positif
B08DPLCM6T;LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray);13490;21990;39;4,3;11976;Electronics;HomeTheater,TV&Video;SmartTelevisions;8500;Luxe >10000;Bon;8;0,604933333;91,7;0;Positif
B09C6HXFC1;Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black;970;1799;46;4,5;815;Computers&Accessories;Accessories&Peripherals;USBCables;829;Mid-range 500-2000;Excellent;8;0,609883333;91,7;0;Positif
