word,main_category,frequency
quality,Electronics,1306
phone,Electronics,851
cable,Computers&Accessories,768
price,Electronics,673
sound,Electronics,601
battery,Electronics,590
watch,Electronics,557
easy,Home&Kitchen,535
quality,Computers&Accessories,513
charging,Computers&Accessories,503
water,Home&Kitchen,463
camera,Electronics,439
quality,Home&Kitchen,398
screen,Electronics,343
time,Electronics,333
better,Electronics,323
working,Electronics,309
price,Computers&Accessories,304
mouse,Computers&Accessories,298
remote,Electronics,297
dont,Electronics,297
usb,Computers&Accessories,286
best,Electronics,273
fast,Computers&Accessories,273
features,Electronics,268
price,Home&Kitchen,267
money,Electronics,266
working,Computers&Accessories,260
works,Electronics,256
charging,Electronics,241
time,Home&Kitchen,239
bass,Electronics,232
budget,Electronics,230
days,Electronics,228
cable,Electronics,226
picture,Electronics,221
life,Electronics,216
mobile,Electronics,216
overall,Electronics,215
laptop,Computers&Accessories,209
works,Computers&Accessories,205
working,Home&Kitchen,205
call,Electronics,202
range,Electronics,202
need,Electronics,202
display,Electronics,201
speed,Computers&Accessories,200
value,Electronics,200
charge,Electronics,196
worth,Electronics,195
bit,Electronics,193
smart,Electronics,193
best,Home&Kitchen,186
samsung,Electronics,186
easy,Computers&Accessories,184
little,Electronics,181
best,Computers&Accessories,180
review,Electronics,179
small,Home&Kitchen,179
day,Electronics,176
earphones,Electronics,176
power,Home&Kitchen,176
bluetooth,Electronics,175
fine,Electronics,174
without,Electronics,171
looks,Electronics,171
experience,Electronics,171
decent,Electronics,170
problem,Electronics,169
clean,Home&Kitchen,163
time,Computers&Accessories,160
app,Electronics,160
service,Electronics,158
device,Electronics,157
work,Computers&Accessories,156
usage,Electronics,156
could,Electronics,155
money,Computers&Accessories,155
work,Electronics,154
works,Home&Kitchen,154
long,Electronics,153
money,Home&Kitchen,153
value,Home&Kitchen,153
video,Electronics,151
issue,Electronics,151
back,Electronics,151
fast,Electronics,150
installation,Electronics,148
fine,Computers&Accessories,148
voice,Electronics,148
months,Electronics,147
boat,Electronics,147
may,Electronics,146
issues,Electronics,144
charger,Electronics,144
feature,Electronics,143
speaker,Electronics,143
room,Home&Kitchen,143
power,Electronics,142
better,Computers&Accessories,142
need,Home&Kitchen,142
low,Electronics,142
long,Computers&Accessories,142
original,Computers&Accessories,140
update,Electronics,140
doesnt,Electronics,139
coffee,Home&Kitchen,139
easy,Electronics,138
want,Electronics,138
average,Electronics,138
device,Computers&Accessories,137
heater,Home&Kitchen,137
since,Electronics,136
dont,Computers&Accessories,135
keyboard,Computers&Accessories,134
cleaning,Home&Kitchen,133
bad,Electronics,132
quite,Electronics,132
hot,Home&Kitchen,130
first,Electronics,129
box,Electronics,129
battery,Computers&Accessories,129
feel,Electronics,129
little,Computers&Accessories,128
performance,Electronics,128
volume,Electronics,128
heating,Home&Kitchen,127
button,Electronics,127
worth,Computers&Accessories,127
two,Electronics,127
light,Electronics,126
android,Electronics,126
enough,Electronics,126
looking,Electronics,126
installation,Home&Kitchen,125
many,Electronics,125
around,Electronics,124
little,Home&Kitchen,124
sturdy,Computers&Accessories,123
hours,Electronics,123
light,Home&Kitchen,123
months,Computers&Accessories,123
music,Electronics,123
make,Home&Kitchen,121
normal,Electronics,121
excellent,Electronics,121
